observation_time,hour,minute
00:00:00,0,0
00:01:00,0,1
00:02:00,0,2
00:03:00,0,3
00:04:00,0,4
00:05:00,0,5
00:06:00,0,6
00:07:00,0,7
00:08:00,0,8
00:09:00,0,9
00:10:00,0,10
00:11:00,0,11
00:12:00,0,12
00:13:00,0,13
00:14:00,0,14
00:15:00,0,15
00:16:00,0,16
00:17:00,0,17
00:18:00,0,18
00:19:00,0,19
00:20:00,0,20
00:21:00,0,21
00:22:00,0,22
00:23:00,0,23
00:24:00,0,24
00:25:00,0,25
00:26:00,0,26
00:27:00,0,27
00:28:00,0,28
00:29:00,0,29
00:30:00,0,30
00:31:00,0,31
00:32:00,0,32
00:33:00,0,33
00:34:00,0,34
00:35:00,0,35
00:36:00,0,36
00:37:00,0,37
00:38:00,0,38
00:39:00,0,39
00:40:00,0,40
00:41:00,0,41
00:42:00,0,42
00:43:00,0,43
00:44:00,0,44
00:45:00,0,45
00:46:00,0,46
00:47:00,0,47
00:48:00,0,48
00:49:00,0,49
00:50:00,0,50
00:51:00,0,51
00:52:00,0,52
00:53:00,0,53
00:54:00,0,54
00:55:00,0,55
00:56:00,0,56
00:57:00,0,57
00:58:00,0,58
00:59:00,0,59
01:00:00,1,0
01:01:00,1,1
01:02:00,1,2
01:03:00,1,3
01:04:00,1,4
01:05:00,1,5
01:06:00,1,6
01:07:00,1,7
01:08:00,1,8
01:09:00,1,9
01:10:00,1,10
01:11:00,1,11
01:12:00,1,12
01:13:00,1,13
01:14:00,1,14
01:15:00,1,15
01:16:00,1,16
01:17:00,1,17
01:18:00,1,18
01:19:00,1,19
01:20:00,1,20
01:21:00,1,21
01:22:00,1,22
01:23:00,1,23
01:24:00,1,24
01:25:00,1,25
01:26:00,1,26
01:27:00,1,27
01:28:00,1,28
01:29:00,1,29
01:30:00,1,30
01:31:00,1,31
01:32:00,1,32
01:33:00,1,33
01:34:00,1,34
01:35:00,1,35
01:36:00,1,36
01:37:00,1,37
01:38:00,1,38
01:39:00,1,39
01:40:00,1,40
01:41:00,1,41
01:42:00,1,42
01:43:00,1,43
01:44:00,1,44
01:45:00,1,45
01:46:00,1,46
01:47:00,1,47
01:48:00,1,48
01:49:00,1,49
01:50:00,1,50
01:51:00,1,51
01:52:00,1,52
01:53:00,1,53
01:54:00,1,54
01:55:00,1,55
01:56:00,1,56
01:57:00,1,57
01:58:00,1,58
01:59:00,1,59
